"Title","Description","Labels","Start Date","End Date"
"[Sprint 01] Setup Database Core & Users","Drizzle ORM: Bảng Users, User_Metadata, Sessions.","sprint-01, backend","2026-04-10","2026-04-13"
"[Sprint 01] API Đăng nhập & Xác thực (Auth)","JWT, Refresh Token, Lưu Session Redis + Postgres.","sprint-01, backend","2026-04-11","2026-04-15"
"[Sprint 01] API Phân quyền động (Dynamic RBAC)","API tạo Role, Permission, gán quyền cho User.","sprint-01, backend","2026-04-14","2026-04-17"
"[Sprint 01] Setup React Admin Template","Khởi tạo Frontend, Layout, Sidebar, tích hợp Axios.","sprint-01, frontend","2026-04-15","2026-04-18"
"[Sprint 01] Giao diện Auth & Phân quyền","Màn hình Đăng nhập. Bảng quản lý Role & Ma trận quyền.","sprint-01, frontend","2026-04-18","2026-04-22"
"[Sprint 02] API Cơ cấu Tổ chức (Org Units)","Thuật toán Materialized Path cho cây phòng ban (Create, Move, Tree).","sprint-02, backend, hrm","2026-04-24","2026-04-28"
"[Sprint 02] API Định biên & Hồ sơ Nhân viên","CRUD Positions, Job Titles, Employees profile.","sprint-02, backend, hrm","2026-04-27","2026-05-01"
"[Sprint 02] API Hợp đồng Lao động Nhân viên","CRUD hợp đồng lao động, cảnh báo hết hạn HĐLĐ trước 30 ngày.","sprint-02, backend, hrm","2026-04-29","2026-05-03"
"[Sprint 02] Giao diện Sơ đồ Công ty (Org Chart)","Vẽ cây phòng ban trực quan, kéo thả hoặc dạng danh sách.","sprint-02, frontend, hrm","2026-05-01","2026-05-05"
"[Sprint 02] Giao diện Quản lý Hồ sơ Nhân sự","Bảng nhân viên (Search, Filter, Phân trang), Form tạo mới.","sprint-02, frontend, hrm","2026-05-03","2026-05-07"
"[Sprint 02] Giao diện Hợp đồng Lao động","Danh sách HĐLĐ có badge cảnh báo sắp hết hạn, form tạo/gia hạn.","sprint-02, frontend, hrm","2026-05-05","2026-05-08"
"[Sprint 03] Tích hợp Google Workspace API","Adapter lưu file lên Google Drive, bảng Attachments.","sprint-03, backend","2026-05-08","2026-05-12"
"[Sprint 03] API Quản lý Khách hàng (CRM Leads)","Bảng Organizations, API Kanban thu thập và đổi trạng thái Lead.","sprint-03, backend, crm, lead","2026-05-11","2026-05-15"
"[Sprint 03] API Báo cáo Lead theo Nguồn & Giai đoạn","Thống kê số Lead theo từng nguồn (Source) và tỷ lệ chuyển đổi qua từng bước.","sprint-03, backend, crm, lead","2026-05-13","2026-05-16"
"[Sprint 03] Giao diện Upload File & View File","Component Upload dùng chung, nút mở file thẳng trên Google Docs.","sprint-03, frontend","2026-05-14","2026-05-18"
"[Sprint 03] Giao diện Kanban Leads","Kéo thả Lead các bước (Mới -> Đang tư vấn -> Chốt).","sprint-03, frontend, crm, lead","2026-05-16","2026-05-21"
"[Sprint 03] Giao diện Báo cáo Lead","Dashboard thống kê Lead theo nguồn, giai đoạn, thời gian.","sprint-03, frontend, crm, lead","2026-05-19","2026-05-22"
"[Sprint 04] API Quản lý Hợp đồng (Contracts)","CRUD Hợp đồng khách hàng. Cronjob cảnh báo trước khi hết hạn 7 ngày.","sprint-04, backend, crm","2026-05-22","2026-05-26"
"[Sprint 04] API Báo giá (Quotes) & Xuất PDF","Tính toán báo giá, lưu DB, gen ra file PDF gửi khách.","sprint-04, backend, crm","2026-05-25","2026-05-29"
"[Sprint 04] Giao diện Dashboard CRM Tổng quan","Widget tổng hợp: Tổng Lead, Hợp đồng sắp hết hạn, Doanh thu dự kiến.","sprint-04, frontend, crm","2026-05-27","2026-05-31"
"[Sprint 04] Giao diện Quản lý Hợp đồng","Danh sách hợp đồng có badge cảnh báo hết hạn.","sprint-04, frontend, crm","2026-05-28","2026-06-01"
"[Sprint 04] Giao diện Tạo Báo giá","Bảng nhập các item, tính tổng tiền, nút Download PDF.","sprint-04, frontend, crm","2026-05-30","2026-06-04"
"[Sprint 05] API Finote (Phiếu ĐNTT)","CRUD Finote, thiết lập luồng duyệt (Status Machine).","sprint-05, backend, accounting","2026-06-05","2026-06-10"
"[Sprint 05] Auto-Approve Cronjob (Finote)","Job chạy mỗi đêm: Quá 3 ngày Leader không duyệt -> Đổi sang APPROVED.","sprint-05, backend, accounting","2026-06-09","2026-06-12"
"[Sprint 05] API Báo cáo Finote theo Tháng","Tổng hợp phiếu ĐNTT đã duyệt theo tháng, theo phòng ban, xuất Excel/PDF.","sprint-05, backend, accounting","2026-06-10","2026-06-13"
"[Sprint 05] Giao diện Lên Finote (Dành cho Staff)","Form nhập dữ liệu phiếu thanh toán và đính kèm hóa đơn.","sprint-05, frontend, accounting","2026-06-11","2026-06-15"
"[Sprint 05] Giao diện Duyệt Finote (Dành cho Leader)","Màn hình 'Chờ tôi duyệt', nút Approve/Reject có ghi chú.","sprint-05, frontend, accounting","2026-06-14","2026-06-18"
"[Sprint 05] Giao diện Báo cáo Finote","Dashboard tổng hợp chi phí theo tháng, phòng ban, loại chi phí.","sprint-05, frontend, accounting","2026-06-16","2026-06-19"
"[Sprint 06] Integration Testing Toàn hệ thống","Chạy test nối các luồng từ Tạo Lead -> Báo giá -> Hợp đồng -> Finote.","sprint-06, backend","2026-06-19","2026-06-25"
"[Sprint 06] Tối ưu hóa UI/UX Phase 1","Sửa lỗi giao diện, responsive cho Mobile/Tablet, loading states.","sprint-06, frontend","2026-06-23","2026-06-29"
"[Sprint 06] Cập nhật API Documentation","Generate Swagger docs mới nhất để chuẩn bị bàn giao.","sprint-06, backend","2026-06-28","2026-07-02"
"[Sprint 07] Setup Hạ tầng Production (VPS)","Cài đặt Docker, Redis, Postgres lên server thật.","sprint-07, backend","2026-07-03","2026-07-07"
"[Sprint 07] Hỗ trợ UAT Phase 1","Nhận bug từ STAX, tạo thẻ Bug và Fix trực tiếp.","sprint-07, bug","2026-07-06","2026-07-16"